,ID,Pred
1,2019_1101_1113,0.5478844251247587
2,2019_1101_1120,0.5973579463179921
3,2019_1101_1124,0.5977051921983251
4,2019_1101_1125,0.5857590880282889
5,2019_1101_1133,0.5985396892183663
6,2019_1101_1138,0.5227861718437032
7,2019_1101_1153,0.48584220031248904
8,2019_1101_1159,0.5611561113537733
9,2019_1101_1181,0.5921872054415145
10,2019_1101_1192,0.5680089035027487
11,2019_1101_1196,0.5557778953501669
12,2019_1101_1199,0.49271414365959015
13,2019_1101_1205,0.5940246718468131
14,2019_1101_1209,0.589787308189511
15,2019_1101_1211,0.5940246718468131
16,2019_1101_1222,0.5382508080046365
17,2019_1101_1233,0.5647444433828708
18,2019_1101_1234,0.48860542158870623
19,2019_1101_1235,0.5227861718437032
20,2019_1101_1242,0.5985396892183663
21,2019_1101_1243,0.5992761004641257
22,2019_1101_1246,0.5965192832901024
23,2019_1101_1251,0.5810998057177468
24,2019_1101_1257,0.5736117796502896
25,2019_1101_1261,0.4861028850344009
26,2019_1101_1266,0.5985396892183663
27,2019_1101_1268,0.5918561350995263
28,2019_1101_1276,0.5975727836790811
29,2019_1101_1277,0.5553315556253096
30,2019_1101_1278,0.5776961785760768
31,2019_1101_1279,0.26326262163516506
32,2019_1101_1280,0.5907342564190302
33,2019_1101_1285,0.5227861718437032
34,2019_1101_1293,0.5585683861766347
35,2019_1101_1295,0.5306351394091317
36,2019_1101_1297,0.5884746939692217
37,2019_1101_1300,0.5227861718437032
38,2019_1101_1305,0.5420761532016547
39,2019_1101_1308,0.531935503601526
40,2019_1101_1314,0.4481297374720212
41,2019_1101_1318,0.5990633253069656
42,2019_1101_1326,0.5762059771030992
43,2019_1101_1328,0.596797799211257
44,2019_1101_1330,0.5722628707686436
45,2019_1101_1332,0.03020023971615826
46,2019_1101_1341,0.5359570203471127
47,2019_1101_1345,0.5831596069776835
48,2019_1101_1371,0.3330796094440541
49,2019_1101_1385,0.39124960383457696
50,2019_1101_1387,0.5953306789348334
51,2019_1101_1388,0.5985396892183663
52,2019_1101_1393,0.4758129639788865
53,2019_1101_1396,0.45766834057241934
54,2019_1101_1397,0.5831596069776835
55,2019_1101_1403,0.5965598342468447
56,2019_1101_1414,0.5975606019357511
57,2019_1101_1416,0.5881301814557996
58,2019_1101_1429,0.5618533856993142
59,2019_1101_1433,0.4481297374720212
60,2019_1101_1436,0.597165368445209
61,2019_1101_1437,0.5975126143255419
62,2019_1101_1438,0.3768210283654036
63,2019_1101_1439,0.585566510155507
64,2019_1101_1449,0.5983471113455844
65,2019_1101_1458,0.5225935939709214
66,2019_1101_1459,0.48564962243970716
67,2019_1101_1463,0.5694219769902346
68,2019_1113_1120,0.5609635334809902
69,2019_1113_1124,0.5919946275687327
70,2019_1113_1125,0.5678163256299669
71,2019_1113_1133,0.5555853174773849
72,2019_1113_1138,0.49252156578680956
73,2019_1113_1153,0.5938320939740299
